Mods count: 113
 
                                      jar name                                        |    notes     |                mod id                |                                   mod name                                   |          mod version           |                                                                                                                                                                                                                                                                                                                                                                                                                                            mixin configs                                                                                                                                                                                                                                                                                                                                                                                                                                            |              modrinth hash               | curseforge hash
autoreconnectrf-neoforge-2.0.1+1.21.1.jar                                             |              | autoreconnectrf                      | AutoReconnect                                                                | 2.0.1+1.21.1                   | autoreconnectrf.neoforge.mixins.json, autoreconnectrf.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 48acf971af71ece69234cf9bb925bee41ec7fa70 | 3824434231     
BetterPingDisplay-1.21.1-1.1.jar                                                      |              | betterpingdisplay                    | Better Ping Display                                                          | 1.1                            | betterpingdisplay.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 66702459c2a87b9943af3347c4df1ae6ff14c897 | 3428373031     
c2me-neoforge-mc1.21.1-0.3.0+alpha.0.93.jar                                           |              | c2me                                 | Concurrent Chunk Management Engine                                           | 0.3.0+alpha.0.93+1.21.1        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 942a6d51d4c475117418a6a36b46833a8128fbc7 | 3435860482     
    /META-INF/jars/asyncutil-0.1.0.jar                                                |              |                                      |                                                                              |                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/c2me-base-mc1.21.1-0.3.0+alpha.0.93-all.jar                        |              | c2me_base                            | Concurrent Chunk Management Engine (Base)                                    | 0.3.0+alpha.0.93+1.21.1        | c2me-base.mixins.json, c2me.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/c2me-client-uncapvd-mc1.21.1-0.3.0+alpha.0.93.jar                  |              | c2me_client_uncapvd                  | Concurrent Chunk Management Engine (Client/Uncap View Distance)              | 0.3.0+alpha.0.93+1.21.1        | c2me-client-uncapvd.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/c2me-fixes-chunkio-threading-issues-mc1.21.1-0.3.0+alpha.0.93.jar  |              | c2me_fixes_chunkio_threading_issues  | Concurrent Chunk Management Engine (Fixes/Chunk IO/Threading Issues)         | 0.3.0+alpha.0.93+1.21.1        | c2me-fixes-chunkio-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/c2me-fixes-general-threading-issues-mc1.21.1-0.3.0+alpha.0.93.jar  |              | c2me_fixes_general_threading_issues  | Concurrent Chunk Management Engine (Fixes/General/Threading Issues)          | 0.3.0+alpha.0.93+1.21.1        | c2me-fixes-general-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/c2me-fixes-worldgen-threading-issues-mc1.21.1-0.3.0+alpha.0.93.jar |              | c2me_fixes_worldgen_threading_issues | Concurrent Chunk Management Engine (Fixes/WorldGen/Threading Issues)         | 0.3.0+alpha.0.93+1.21.1        | c2me-fixes-worldgen-threading-issues.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/c2me-fixes-worldgen-vanilla-bugs-mc1.21.1-0.3.0+alpha.0.93.jar     |              | c2me_fixes_worldgen_vanilla_bugs     | Concurrent Chunk Management Engine (Fixes/WorldGen/Vanilla Bugs)             | 0.3.0+alpha.0.93+1.21.1        | c2me-fixes-worldgen-vanilla-bugs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
